source	target	depth
artificial neural network	hierarchical temporal memory	1
artificial neural network	20q	1
artificial neural network	adaline	1
artificial neural network	adaptive resonance theory	1
artificial neural network	artificial life	1
artificial neural network	associative memory base	1
artificial neural network	autoencoder	1
artificial neural network	beam robotics	1
artificial neural network	biological cybernetics	1
artificial neural network	biologically inspired computing	1
artificial neural network	blue brain project	1
artificial neural network	catastrophic interference	1
artificial neural network	cerebellar model articulation controller	1
artificial neural network	cognitive architecture	1
artificial neural network	cognitive science	1
artificial neural network	convolutional neural network	1
artificial neural network	connectionist expert system	1
artificial neural network	connectomics	1
artificial neural network	cultured neuronal networks	1
artificial neural network	deep learning	1
artificial neural network	encog	1
artificial neural network	fuzzy logic	1
artificial neural network	gene expression programming	1
artificial neural network	genetic algorithm	1
artificial neural network	genetic programming	1
artificial neural network	group method of data handling	1
artificial neural network	habituation	1
artificial neural network	in situ adaptive tabulation	1
artificial neural network	models of neural computation	1
artificial neural network	neuroevolution	1
artificial neural network	neural coding	1
artificial neural network	neural gas	1
artificial neural network	neural machine translation	1
artificial neural network	neural network software	1
artificial neural network	neuroscience	1
artificial neural network	nonlinear system identification	1
artificial neural network	optical neural network	1
artificial neural network	parallel constraint satisfaction processes	1
artificial neural network	parallel distributed processing	1
artificial neural network	radial basis function network	1
artificial neural network	recurrent neural networks	1
artificial neural network	self-organizing map	1
artificial neural network	spiking neural network	1
artificial neural network	systolic array	1
artificial neural network	tensor product network	1
artificial neural network	time delay neural network	1
artificial intelligence	abductive reasoning	1
artificial intelligence	a.i. rising	1
artificial intelligence	artificial intelligence arms race	1
artificial intelligence	behavior selection algorithm	1
artificial intelligence	business process automation	1
artificial intelligence	case-based reasoning	1
artificial intelligence	citizen science	1
artificial intelligence	commonsense reasoning	1
artificial intelligence	emergent algorithm	1
artificial intelligence	evolutionary computation	1
artificial intelligence	glossary of artificial intelligence	1
artificial intelligence	machine learning	1
artificial intelligence	mathematical optimization	1
artificial intelligence	multi-agent system	1
artificial intelligence	personality computing	1
artificial intelligence	robotic process automation	1
artificial intelligence	soft computing	1
artificial intelligence	universal basic income	1
artificial intelligence	weak ai	1
natural language processing	1 the road	1
natural language processing	automated essay scoring	1
natural language processing	biomedical text mining	1
natural language processing	compound term processing	1
natural language processing	computational linguistics	1
natural language processing	computer-assisted reviewing	1
natural language processing	controlled natural language	1
natural language processing	deep learning	1
natural language processing	deep linguistic processing	1
natural language processing	distributional semantics	1
natural language processing	foreign language reading aid	1
natural language processing	foreign language writing aid	1
natural language processing	information extraction	1
natural language processing	information retrieval	1
natural language processing	language and communication technologies	1
natural language processing	language technology	1
natural language processing	latent semantic indexing	1
natural language processing	native-language identification	1
natural language processing	natural language programming	1
natural language processing	natural language user interface	1
natural language processing	query expansion	1
natural language processing	reification (linguistics)	1
natural language processing	speech processing	1
natural language processing	spoken dialogue system	1
natural language processing	text-proofing	1
natural language processing	text simplification	1
natural language processing	transformer (machine learning model)	1
natural language processing	truecasing	1
natural language processing	question answering	1
natural language processing	word2vec	1
machine learning	automated machine learning	1
machine learning	big data	1
machine learning	explanation-based learning	1
machine learning	predictive analytics	1
machine learning	quantum machine learning	1
machine learning	machine learning in bioinformatics	1
quantum machine learning	quantum computing	2
quantum machine learning	quantum algorithm for linear systems of equations	2
quantum machine learning	quantum annealing	2
quantum machine learning	quantum neural network	2
quantum machine learning	quantum image	2
predictive analytics	actuarial science	2
predictive analytics	algorithmic trading	2
predictive analytics	computational sociology	2
predictive analytics	criminal reduction utilising statistical history	2
predictive analytics	disease surveillance	2
predictive analytics	learning analytics	2
predictive analytics	odds algorithm	2
predictive analytics	pattern recognition	2
predictive analytics	predictive inference	2
predictive analytics	predictive policing	2
predictive analytics	social media analytics	2
explanation-based learning	one-shot learning	2
big data	big data ethics	2
big data	big data maturity model	2
big data	big memory	2
big data	data curation	2
big data	data defined storage	2
big data	data lineage	2
big data	data philanthropy	2
big data	data science	2
big data	datafication	2
big data	in-memory processing	2
big data	urban informatics	2
big data	very large database	2
big data	xldb	2
big data	data analysis	2
automated machine learning	neural architecture search	2
automated machine learning	hyperparameter optimization	2
automated machine learning	model selection	2
automated machine learning	neuroevolution	2
automated machine learning	self-tuning	2
word2vec	autoencoder	2
word2vec	document-term matrix	2
word2vec	feature extraction	2
word2vec	feature learning	2
word2vec	language model	2
word2vec	vector space model	2
word2vec	thought vector	2
word2vec	fasttext	2
word2vec	glove (machine learning)	2
word2vec	normalized compression distance	2
text simplification	automated paraphrasing	2
text simplification	controlled natural language	2
text simplification	lexical simplification	2
text simplification	lexical substitution	2
text simplification	semantic compression	2
text simplification	text normalization	2
text simplification	simplified technical english	2
text simplification	basic english	2
text-proofing	american and british english spelling differences	2
text-proofing	distributed proofreaders	2
text-proofing	etaoin shrdlu	2
text-proofing	fact checking	2
text-proofing	galley proof	2
text-proofing	iso 5776	2
text-proofing	obelism	2
text-proofing	printing press check	2
text-proofing	style guide	2
text-proofing	typographical syntax	2
text-proofing	writing circle	2
speech processing	neurocomputational speech processing	2
speech processing	speech coding	2
speech processing	speech technology	2
speech processing	natural language processing	2
reification (linguistics)	drinker paradox	2
reification (linguistics)	nonfirstorderizability	2
reification (linguistics)	reification (computer science)	2
reification (linguistics)	reification (fallacy)	2
reification (linguistics)	reification (knowledge representation)	2
query expansion	document retrieval	2
query expansion	information retrieval	2
query expansion	linguistics	2
query expansion	morphology (linguistics)	2
query expansion	natural language processing	2
query expansion	search engine	2
query expansion	search engine indexing	2
query expansion	stemming	2
